"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Folders filed in","Publisher","Date published","Date accessed","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Notes","Copyright","Language","Sub-type"
"Review","Li Y,Darabi R","Role of epigenetics in cellular reprogramming; from iPSCs to disease modeling and cell therapy","J. Cell. Biochem.","Journal of cellular biochemistry","2022","123","2","147-154","Imai_Ozaki-lab/Review_iPSC_differentiation","Wiley","2022-02","2025-05-01","1097-4644","0730-2312","http://dx.doi.org/10.1002/jcb.30164;https://onlinelibrary.wiley.com/doi/10.1002/jcb.30164;https://pubmed.ncbi.nlm.nih.gov/34668236/;https://www.ncbi.nlm.nih.gov/pubmed/34668236;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8860854","10.1002/jcb.30164","34668236","PMC8860854","Epigenetics play a fundamental role in induced pluripotent stem cell (iPSC) technology due to their effect on iPSC's reprogramming efficiency and their subsequent role in iPSC differentiation toward a specific lineage. Epigenetics can skew the differentiation course of iPSCs toward a specific lineage based on the epigenetic memory of the source cells, or even lead to acquisition of new cell phenotypes, due to its aberrations during reprogramming. This viewpoint discusses key features of the epigenetic process during iPSC reprogramming/differentiation and outlines important epigenetic factors that need to be considered for successful generation and differentiation of iPSCs for downstream applications.","differentiation; disease modeling; epigenetics; iPSCs; regenerative medicine; reprogramming","","http://onlinelibrary.wiley.com/termsAndConditions#vor","en","Review"
"Review","Xu H,Wu L,Yuan G,Liang X,Liu X,Li Z,Chen N,Farzaneh M","MicroRNAs: Crucial players in the differentiation of human pluripotent and multipotent stem cells into functional hepatocyte-like cells","Curr. Stem Cell Res. Ther.","Current stem cell research & therapy","2022","17","8","734-740","Imai_Ozaki-lab/Review_iPSC_differentiation","Bentham Science Publishers Ltd.","2022","2025-05-01","2212-3946","1574-888X","http://dx.doi.org/10.2174/1574888X16666211006102039;https://www.eurekaselect.com/197027/article;https://pubmed.ncbi.nlm.nih.gov/34615452/;https://www.ncbi.nlm.nih.gov/pubmed/34615452","10.2174/1574888X16666211006102039","34615452","","Hepatic disease negatively impacts liver function and metabolism. Primary human hepatocytes are the gold standard for the prediction and successful treatment of liver disease. However, the sources of hepatocytes for drug toxicity testing and disease modeling are limited. To overcome this issue, pluripotent stem cells (PSCs) have emerged as an alternative strategy for liver disease therapy. Human PSCs, including embryonic stem cells (ESC) and induced pluripotent stem cells (iPSC) can self-renew and give rise to all cells of the body. Human PSCs are attractive cell sources for regenerative medicine, tissue engineering, drug discovery, and developmental studies. Several recent studies have shown that mesenchymal stem cells (MSCs) can also differentiate (or trans-differentiate) into hepatocytes. Differentiation of human PSCs and MSCs into functional hepatocytelike cells (HLCs) opens new strategies to study genetic diseases, hepatotoxicity, infection of hepatotropic viruses, and analyze hepatic biology. Numerous in vitro and in vivo differentiation protocols have been established to obtain human PSCs/MSCs-derived HLCs and mimic their characteristics. It was recently discovered that microRNAs (miRNAs) play a critical role in controlling the ectopic expression of transcription factors and governing the hepatocyte differentiation of human PSCs and MSCs. In this review, we focused on the role of miRNAs in the differentiation of human PSCs and MSCs into hepatocytes.","Liver diseases; hepatocytes; induced pluripotent stem cells; mesenchymal stem cells; microRNAs; pluripotent stem cells","","","en","Review"
"Review","Andrews PW","Human pluripotent stem cells: tools for regenerative medicine","Biomater. Transl.","Biomaterials translational","2021","2","4","294-300","Imai_Ozaki-lab/Review_iPSC_differentiation","Biomater Transl","2021-12-28","2025-05-01","2096-112X","","http://dx.doi.org/10.12336/biomatertransl.2021.04.004;https://biomat-trans.com/journal/BMT/2/4/10.12336/biomatertransl.2021.04.004;https://pubmed.ncbi.nlm.nih.gov/35837419/;https://www.ncbi.nlm.nih.gov/pubmed/35837419;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9255800","10.12336/biomatertransl.2021.04.004","35837419","PMC9255800","Human embryonic stem cells and induced pluripotent stem cells, together denoted as pluripotent stem cells have opened up unprecedented opportunities for developments in human healthcare over the past 20 years. Although much about the properties and behaviour of these cells required to underpin their applications has been discovered over this time, a number of issues remain. This brief review considers the history of these developments and some of the underlying biology, pointing out some of the problems still to be resolved, particularly in relation to their genetic stability and possible malignancy.","differentiation; embryonic stem cell; human; induced pluripotent stem cell; pluripotency","","","en","Review"
"Review","Lin Z,Tang X,Wan J,Zhang X,Liu C,Liu T","Functions and mechanisms of circular RNAs in regulating stem cell differentiation","RNA Biol.","RNA biology","2021","18","12","2136-2149","Imai_Ozaki-lab/Review_iPSC_differentiation","Informa UK Limited","2021-12","2025-05-01","1555-8584","1547-6286","http://dx.doi.org/10.1080/15476286.2021.1913551;https://www.tandfonline.com/doi/full/10.1080/15476286.2021.1913551;https://pubmed.ncbi.nlm.nih.gov/33896374/;https://www.ncbi.nlm.nih.gov/pubmed/33896374;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8632079","10.1080/15476286.2021.1913551","33896374","PMC8632079","Stem cells are a class of undifferentiated cells with great self-renewal and differentiation capabilities that can differentiate into mature cells in specific tissue types. Stem cell differentiation plays critical roles in body homoeostasis, injury repair and tissue generation. The important functions of stem cell differentiation have resulted in numerous studies focusing on the complex molecular mechanisms and various signalling pathways controlling stem cell differentiation. Circular RNAs (circRNAs) are a novel class of noncoding RNAs with a covalently closed structure present in eukaryotes. Numerous studies have highlighted important biological functions of circRNAs, and they play multiple regulatory roles in various physiological and pathological processes. Importantly, multiple lines of evidence have shown the abnormal expression of numerous circRNAs during stem cell differentiation, and some play a role in regulating stem cell differentiation, highlighting the role of circRNAs as novel biomarkers of stem cell differentiation and novel targets for stem cell-based therapy. In this review, we systematically summarize and discuss recent advances in our understanding of the roles and underlying mechanisms of circRNAs in modulating stem cell differentiation, thus providing guidance for future studies to investigate stem cell differentiation and stem cell-based therapy.Abbreviations: CircRNAs: circular RNAs; ESCs: embryonic stem cells; ADSCs: adipose-derived mesenchymal stem cells; ecircRNAs: exonic circRNAs; EIciRNAs: exon-intron circRNAs; eiRNAs: circular intronic RNAs; tricRNAs: tRNA intronic circRNAs; pol II: polymerase II; snRNP: small nuclear ribonucleoprotein; m6A: N6-methyladenosine; AGO2: Argonaute 2; RBPs: RNA-binding proteins; MBNL: muscleblind-like protein 1; MSCs: mesenchymal stem cells; hiPSCs: human induced pluripotent stem cells; hiPSC-CMs: hiPSC-derived cardiomyocytes; hBMSCs: human bone marrow mesenchymal stem cells; hADSCs: human adipose-derived mesenchymal stem cells; hDPSCs: human dental pulp stem cells; RNA-seq: high-throughput RNA sequencing; HSCs: haematopoietic stem cells; NSCs: neural stem cells; EpSCs: epidermal stem cells; hESCs: human embryonic stem cells; mESCs: murine embryonic stem cells; MNs: motor neurons; SSUP: small subunit processome; BMSCs: bone marrow-derived mesenchymal stem cells; OGN: osteoglycin; GIOP: glucocorticoid‑induced osteoporosis; CDR1as: cerebellar degeneration-related protein 1 transcript; SONFH: steroid-induced osteogenesis of the femoral head; rBMSCs: rat bone marrow-derived mesenchymal stem cells; QUE: quercetin; AcvR1b: activin A receptor type 1B; BSP: bone sialoprotein; mADSCs: mouse ADSCs; PTBP1: polypyrimidine tract-binding protein; ER: endoplasmic reticulum; hUCMSCs: MSCs derived from human umbilical cord; MSMSCs: maxillary sinus membrane stem cells; SCAPs: stem cells from the apical papilla; MyoD: myogenic differentiation protein 1; MSTN: myostatin; MEF2C: myocyte enhancer factor 2C; BCLAF1: BCL2-associated transcription factor 1; EpSCs: epidermal stem cells; ISCs: intestinal stem cells; NSCs: neural stem cells; Lgr5+ ISCs: crypt base columnar cells; ILCs: innate lymphoid cells.","Circular RNAs; differentiation; miRNA sponges; stem cells","","","en","Review"
"Review","Ray A,Joshi JM,Sundaravadivelu PK,Raina K,Lenka N,Kaveeshwar V,Thummer RP","An overview on promising somatic cell sources utilized for the efficient generation of induced Pluripotent Stem Cells","Stem Cell Rev Rep","Stem cell reviews and reports","2021","17","6","1954-1974","Imai_Ozaki-lab/Review_iPSC_differentiation","Springer Science and Business Media LLC","2021-12","2025-05-01","2629-3277","2629-3277","http://dx.doi.org/10.1007/s12015-021-10200-3;https://link.springer.com/10.1007/s12015-021-10200-3;https://pubmed.ncbi.nlm.nih.gov/34100193/;https://www.ncbi.nlm.nih.gov/pubmed/34100193","10.1007/s12015-021-10200-3","34100193","","Human induced Pluripotent Stem Cells (iPSCs) have enormous potential in understanding developmental biology, disease modeling, drug discovery, and regenerative medicine. The initial human iPSC studies used fibroblasts as a starting cell source to reprogram them; however, it has been identified to be a less appealing somatic cell source by numerous studies due to various reasons. One of the important criteria to achieve efficient reprogramming is determining an appropriate starting somatic cell type to induce pluripotency since the cellular source has a major influence on the reprogramming efficiency, kinetics, and quality of iPSCs. Therefore, numerous groups have explored various somatic cell sources to identify the promising sources for reprogramming into iPSCs with different reprogramming factor combinations. This review provides an overview of promising easily accessible somatic cell sources isolated in non-invasive or minimally invasive manner such as keratinocytes, urine cells, and peripheral blood mononuclear cells used for the generation of human iPSCs derived from healthy and diseased subjects. Notably, iPSCs generated from one of these cell types derived from the patient will offer ethical and clinical advantages. In addition, these promising somatic cell sources have the potential to efficiently generate bona fide iPSCs with improved reprogramming efficiency and faster kinetics. This knowledge will help in establishing strategies for safe and efficient reprogramming and the generation of patient-specific iPSCs from these cell types.","Induced pluripotent stem cells; Keratinocytes; Peripheral blood mononuclear cells; Somatic cells; Urine cells","","","en","Review"
"Review","Sun W,Zhang B,Bie Q,Ma N,Liu N,Shao Z","The role of RNA methylation in regulating stem cell fate and function-focus on m6A","Stem Cells Int.","Stem cells international","2021","2021","","8874360","Imai_Ozaki-lab/Review_iPSC_differentiation","Hindawi Limited","2021-10-28","2025-05-01","1687-966X","1687-9678","http://dx.doi.org/10.1155/2021/8874360;https://www.hindawi.com/journals/sci/2021/8874360/;https://pubmed.ncbi.nlm.nih.gov/34745269/;https://www.ncbi.nlm.nih.gov/pubmed/34745269;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8568546","10.1155/2021/8874360","34745269","PMC8568546","The biological role of RNA methylation in stem cells has attracted increasing attention. Recent studies have demonstrated that RNA methylation plays a crucial role in self-renewal, differentiation, and tumorigenicity of stem cells. In this review, we focus on the biological role of RNA methylation modifications including N6-methyladenosine, 5-methylcytosine, and uridylation in embryonic stem cells, adult stem cells, induced pluripotent stem cells, and cancer stem cells, so as to provide new insights into the potential innovative treatments of cancer or other complex diseases.","","","","en","Review"
"Review","Meir YJ,Li G","Somatic reprogramming-above and beyond pluripotency","Cells","Cells (Basel, Switzerland)","2021","10","11","2888","Imai_Ozaki-lab/Review_iPSC_differentiation","MDPI AG","2021-10-26","2025-05-01","2073-4409","","http://dx.doi.org/10.3390/cells10112888;https://www.mdpi.com/2073-4409/10/11/2888;https://pubmed.ncbi.nlm.nih.gov/34831113/;https://www.ncbi.nlm.nih.gov/pubmed/34831113;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8616127","10.3390/cells10112888","34831113","PMC8616127","Pluripotent stem cells, having long been considered the fountain of youth, have caught the attention of many researchers from diverse backgrounds due to their capacity for unlimited self-renewal and potential to differentiate into all cell types. Over the past 15 years, the advanced development of induced pluripotent stem cells (iPSCs) has displayed an unparalleled potential for regenerative medicine, cell-based therapies, modeling human diseases in culture, and drug discovery. The transcription factor quartet (Oct4, Sox2, Klf4, and c-Myc) reprograms highly differentiated somatic cells back to a pluripotent state recapitulated embryonic stem cells (ESCs) in different aspects, including gene expression profile, epigenetic signature, and functional pluripotency. With the prior fruitful studies in SCNT and cell fusion experiments, iPSC finds its place and implicates that the differentiated somatic epigenome retains plasticity for re-gaining the pluripotency and further stretchability to reach a totipotency-like state. These achievements have revolutionized the concept and created a new avenue in biomedical sciences for clinical applications. With the advent of 15 years' progress-making after iPSC discovery, this review is focused on how the current concept is established by revisiting those essential landmark studies and summarizing its current biomedical applications status to facilitate the new era entry of regenerative therapy.","Col1a1 4F2A Oct4-GFP reprogrammable mouse; expanded potential stem cell (EPSC); expanded potential stem cell medium (EPSCM); induced pluripotent stem cell (iPSC); somatic reprogramming; stochastic and deterministic model","","https://creativecommons.org/licenses/by/4.0/","en","Review"
"Review","van Essen M,Riepsaame J,Jacob J","CRISPR-Cas gene perturbation and editing in human induced pluripotent stem cells","CRISPR J.","The CRISPR journal","2021","4","5","634-655","Imai_Ozaki-lab/Review_iPSC_differentiation","Mary Ann Liebert Inc","2021-10","2025-05-01","2573-1602","2573-1599","http://dx.doi.org/10.1089/crispr.2021.0063;https://www.liebertpub.com/doi/10.1089/crispr.2021.0063;https://pubmed.ncbi.nlm.nih.gov/34582693/;https://www.ncbi.nlm.nih.gov/pubmed/34582693","10.1089/crispr.2021.0063","34582693","","Directing the fates of human pluripotent stem cells (hPSC) to generate a multitude of differentiated cell types allows the study of the genetic regulation of human development and disease. The translational potential of hPSC is maximized by exploiting CRISPR to silence or activate genes with spatial and temporal precision permanently or reversibly. Here, we summarize the increasingly refined and diverse CRISPR toolkit for the latter forms of gene perturbation in hPSC and their downstream applications. We discuss newer methods to install edits efficiently with single nucleotide resolution and describe pooled CRISPR screens as a powerful means of unbiased discovery of genes associated with a phenotype of interest. Last, we discuss the potential of these combined technologies in the treatment of hitherto intractable human diseases and the challenges to their implementation in the clinic.","","","","en","Review"
"Review","Jin Y,Cho SW","Bioengineering platforms for cell therapeutics derived from pluripotent and direct reprogramming","APL Bioeng.","APL bioengineering","2021","5","3","031501","Imai_Ozaki-lab/Review_iPSC_differentiation","AIP Publishing","2021-09-06","2025-05-01","2473-2877","","http://dx.doi.org/10.1063/5.0040621;https://pubs.aip.org/apb/article/5/3/031501/1025070/Bioengineering-platforms-for-cell-therapeutics;https://pubmed.ncbi.nlm.nih.gov/34258498/;https://www.ncbi.nlm.nih.gov/pubmed/34258498;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8263070","10.1063/5.0040621","34258498","PMC8263070","Pluripotent and direct reprogramming technologies hold great potential for tissue repair and restoration of tissue and organ function. The implementation of induced pluripotent stem cells and directly reprogrammed cells in biomedical research has resulted in a significant leap forward in the highly promising area of regenerative medicine. While these therapeutic strategies are promising, there are several obstacles to overcome prior to the introduction of these therapies into clinical settings. Bioengineering technologies, such as biomaterials, bioprinting, microfluidic devices, and biostimulatory systems, can enhance cell viability, differentiation, and function, in turn the efficacy of cell therapeutics generated via pluripotent and direct reprogramming. Therefore, cellular reprogramming technologies, in combination with tissue-engineering platforms, are poised to overcome current bottlenecks associated with cell-based therapies and create new ways of producing engineered tissue substitutes.","","","https://creativecommons.org/licenses/by/4.0/","en","Review"
"Review","Steeg R,Mueller SC,Mah N,Holst B,Cabrera-Socorro A,Stacey GN,De Sousa PA,Courtney A,Zimmermann H","EBiSC best practice: How to ensure optimal generation, qualification, and distribution of iPSC lines","Stem Cell Reports","Stem cell reports","2021","16","8","1853-1867","Imai_Ozaki-lab/Review_iPSC_differentiation","Elsevier BV","2021-08-10","2025-05-01","2213-6711","","http://dx.doi.org/10.1016/j.stemcr.2021.07.009;https://linkinghub.elsevier.com/retrieve/pii/S2213671121003751;https://pubmed.ncbi.nlm.nih.gov/34380020/;https://www.ncbi.nlm.nih.gov/pubmed/34380020;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8365092","10.1016/j.stemcr.2021.07.009","34380020","PMC8365092","Disease-relevant human induced pluripotent stem cells (iPSCs) are generated worldwide for research purposes; however, without robust and practical ethical, legal, and quality standards, there is a high risk that their true potential will not be realized. Best practices for tissue procurement, iPSC reprogramming, day-to-day cultivation, quality control, and data management aligned with an ethical and legal framework must be included into daily operations to ensure their promise is maximized. Here we discuss key learning experiences from 7 years of operating the European Bank for induced Pluripotent Stem Cells (EBiSC) and recommend how to incorporate solutions into a daily management framework.","EBiSC; banking; biobank; data management; ethics; guidance; iPSC; legal; quality; quality control; repository; reprogramming","","http://creativecommons.org/licenses/by-nc-nd/4.0/","en","Review"
"Review","Arabacı DH,Terzioğlu G,Bayırbaşı B,Önder TT","Going up the hill: chromatin-based barriers to epigenetic reprogramming","FEBS J.","The FEBS journal","2021","288","16","4798-4811","Imai_Ozaki-lab/Review_iPSC_differentiation","Wiley","2021-08","2025-05-01","1742-4658","1742-464X","http://dx.doi.org/10.1111/febs.15628;https://febs.onlinelibrary.wiley.com/doi/10.1111/febs.15628;https://pubmed.ncbi.nlm.nih.gov/33190371/;https://www.ncbi.nlm.nih.gov/pubmed/33190371","10.1111/febs.15628","33190371","","The establishment and maintenance of cellular identity are crucial during development and tissue homeostasis. Epigenetic mechanisms based largely on DNA methylation and histone modifications serve to reinforce and safeguard differentiated cell states. Somatic cell nuclear transfer (SCNT) or transcription factors such as Oct4, Sox2, Klf4, c-MYC (OSKM) can erase somatic cell identity and reprogram the cells to a pluripotent state. In doing so, reprogramming must reset the chromatin landscape, silence somatic-specific gene expression programs, and, in their place, activate the pluripotency network. In this viewpoint, we consider the major chromatin-based barriers for reprogramming of somatic cells to pluripotency. Among these, repressive chromatin modifications such as DNA methylation, H3K9 methylation, variant histone deposition, and histone deacetylation generally block the activation of pluripotency genes. In contrast, active transcription-associated chromatin marks such as DOT1L-catalyzed H3K79 methylation, FACT-mediated histone turnover, active enhancer SUMOylation, and EP300/CBP bromodomain-mediated interactions act to maintain somatic-specific gene expression programs. We highlight how genetic or chemical inhibition of both types of barriers can enhance the kinetics and/or efficiency of reprogramming. Understanding the mechanisms by which these barriers function provides insight into how chromatin marks help maintain cell identity.","chromatin; epigenetics; pluripotent stem cells; reprogramming","","http://onlinelibrary.wiley.com/termsAndConditions#vor","en","Review"
"Review","Wang AYL","Application of modified mRNA in somatic reprogramming to pluripotency and directed conversion of cell fate","Int. J. Mol. Sci.","International journal of molecular sciences","2021","22","15","8148","Imai_Ozaki-lab/Review_iPSC_differentiation","MDPI AG","2021-07-29","2025-05-01","1422-0067","1661-6596","http://dx.doi.org/10.3390/ijms22158148;https://www.mdpi.com/1422-0067/22/15/8148;https://pubmed.ncbi.nlm.nih.gov/34360910/;https://www.ncbi.nlm.nih.gov/pubmed/34360910;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8348611","10.3390/ijms22158148","34360910","PMC8348611","Modified mRNA (modRNA)-based somatic reprogramming is an effective and safe approach that overcomes the genomic mutation risk caused by viral integrative methods. It has improved the disadvantages of conventional mRNA and has better stability and immunogenicity. The modRNA molecules encoding multiple pluripotent factors have been applied successfully in reprogramming somatic cells such as fibroblasts, mesenchymal stem cells, and amniotic fluid stem cells to generate pluripotent stem cells (iPSCs). Moreover, it also can be directly used in the terminal differentiation of stem cells and fibroblasts into functional therapeutic cells, which exhibit great promise in disease modeling, drug screening, cell transplantation therapy, and regenerative medicine. In this review, we summarized the reprogramming applications of modified mRNA in iPSC generation and therapeutic applications of functionally differentiated cells.","induced pluripotent stem cells; mRNA-based reprogramming; modified mRNA; therapeutic application; transdifferentiation","","https://creativecommons.org/licenses/by/4.0/","en","Review"
"Review","Basu A,Tiwari VK","Epigenetic reprogramming of cell identity: lessons from development for regenerative medicine","Clin. Epigenetics","Clinical epigenetics","2021","13","1","144","Imai_Ozaki-lab/Review_iPSC_differentiation","Springer Science and Business Media LLC","2021-07-23","2025-05-01","1868-7083","1868-7075","http://dx.doi.org/10.1186/s13148-021-01131-4;https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-021-01131-4;https://pubmed.ncbi.nlm.nih.gov/34301318/;https://www.ncbi.nlm.nih.gov/pubmed/34301318;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8305869","10.1186/s13148-021-01131-4","34301318","PMC8305869","Epigenetic mechanisms are known to define cell-type identity and function. Hence, reprogramming of one cell type into another essentially requires a rewiring of the underlying epigenome. Cellular reprogramming can convert somatic cells to induced pluripotent stem cells (iPSCs) that can be directed to differentiate to specific cell types. Trans-differentiation or direct reprogramming, on the other hand, involves the direct conversion of one cell type into another. In this review, we highlight how gene regulatory mechanisms identified to be critical for developmental processes were successfully used for cellular reprogramming of various cell types. We also discuss how the therapeutic use of the reprogrammed cells is beginning to revolutionize the field of regenerative medicine particularly in the repair and regeneration of damaged tissue and organs arising from pathological conditions or accidents. Lastly, we highlight some key challenges hindering the application of cellular reprogramming for therapeutic purposes.","Development; Epigenetic mechanisms; Regenerative medicine; Reprogramming; Transcription factors","","https://creativecommons.org/licenses/by/4.0","en","Review"
"Review","Zimmermannova O,Caiado I,Ferreira AG,Pereira CF","Cell fate reprogramming in the era of cancer immunotherapy","Front. Immunol.","Frontiers in immunology","2021","12","","714822","Imai_Ozaki-lab/Review_iPSC_differentiation","Frontiers Media SA","2021-07-21","2025-05-01","1664-3224","","http://dx.doi.org/10.3389/fimmu.2021.714822;https://www.frontiersin.org/articles/10.3389/fimmu.2021.714822/full;https://pubmed.ncbi.nlm.nih.gov/34367185/;https://www.ncbi.nlm.nih.gov/pubmed/34367185;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8336566","10.3389/fimmu.2021.714822","34367185","PMC8336566","Advances in understanding how cancer cells interact with the immune system allowed the development of immunotherapeutic strategies, harnessing patients' immune system to fight cancer. Dendritic cell-based vaccines are being explored to reactivate anti-tumor adaptive immunity. Immune checkpoint inhibitors and chimeric antigen receptor T-cells (CAR T) were however the main approaches that catapulted the therapeutic success of immunotherapy. Despite their success across a broad range of human cancers, many challenges remain for basic understanding and clinical progress as only a minority of patients benefit from immunotherapy. In addition, cellular immunotherapies face important limitations imposed by the availability and quality of immune cells isolated from donors. Cell fate reprogramming is offering interesting alternatives to meet these challenges. Induced pluripotent stem cell (iPSC) technology not only enables studying immune cell specification but also serves as a platform for the differentiation of a myriad of clinically useful immune cells including T-cells, NK cells, or monocytes at scale. Moreover, the utilization of iPSCs allows introduction of genetic modifications and generation of T/NK cells with enhanced anti-tumor properties. Immune cells, such as macrophages and dendritic cells, can also be generated by direct cellular reprogramming employing lineage-specific master regulators bypassing the pluripotent stage. Thus, the cellular reprogramming toolbox is now providing the means to address the potential of patient-tailored immune cell types for cancer immunotherapy. In parallel, development of viral vectors for gene delivery has opened the door for in vivo reprogramming in regenerative medicine, an elegant strategy circumventing the current limitations of in vitro cell manipulation. An analogous paradigm has been recently developed in cancer immunotherapy by the generation of CAR T-cells in vivo. These new ideas on endogenous reprogramming, cross-fertilized from the fields of regenerative medicine and gene therapy, are opening exciting avenues for direct modulation of immune or tumor cells in situ, widening our strategies to remove cancer immunotherapy roadblocks. Here, we review current strategies for cancer immunotherapy, summarize technologies for generation of immune cells by cell fate reprogramming as well as highlight the future potential of inducing these unique cell identities in vivo, providing new and exciting tools for the fast-paced field of cancer immunotherapy.","CAR-T; antigen presentation; cancer immunotherapy; cancer vaccine; cellular reprogramming; dendritic cell; transcription factor; tumor immunology","","https://creativecommons.org/licenses/by/4.0/","en","Review"
"Review","Saitoh I,Sato M,Kiyokawa Y,Inada E,Iwase Y,Ibano N,Noguchi H","Induced tissue-specific stem cells (iTSCs): Their generation and possible use in regenerative medicine","Pharmaceutics","Pharmaceutics","2021","13","6","780","Imai_Ozaki-lab/Review_iPSC_differentiation","MDPI AG","2021-05-23","2025-05-01","1999-4923","","http://dx.doi.org/10.3390/pharmaceutics13060780;https://www.mdpi.com/1999-4923/13/6/780;https://pubmed.ncbi.nlm.nih.gov/34071015/;https://www.ncbi.nlm.nih.gov/pubmed/34071015;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8224740","10.3390/pharmaceutics13060780","34071015","PMC8224740","Induced tissue-specific stem cells (iTSCs) are partially reprogrammed cells which have an intermediate state, such as progenitors or stem cells. They originate from the de-differentiation of differentiated somatic cells into pluripotent stem cells, such as induced pluripotent stem cells (iPSCs) and embryonic stem cells (ESCs), or from the differentiation of undifferentiated cells. They show a limited capacity to differentiate and a morphology similar to that of somatic cell stem cells present in tissues, but distinct from that of iPSCs and ESCs. iTSCs can be generally obtained 7 to 10 days after reprogramming of somatic cells with Yamanaka’s factors, and their fibroblast-like morphology remains unaltered. iTSCs can also be obtained directly from iPSCs cultured under conditions allowing cellular differentiation. In this case, to effectively induce iTSCs, additional treatment is required, as exemplified by the conversion of iPSCs into naïve iPSCs. iTSCs can proliferate continuously in vitro, but when transplanted into immunocompromised mice, they fail to generate solid tumors (teratomas), implying loss of tumorigenic potential. The low tendency of iTSCs to elicit tumors is beneficial, especially considering applications for regenerative medicine in humans. Several iTSC types have been identified, including iTS-L, iTS-P, and iTS-D, obtained by reprogramming hepatocytes, pancreatic cells, and deciduous tooth-derived dental pulp cells, respectively. This review provides a brief overview of iPSCs and discusses recent advances in the establishment of iTSCs and their possible applications in regenerative medicine.","epiblast stem cells; induced pluripotent stem cells (iPSCs); induced tissue-specific stem cells (iTSCs); insulin-producing cells; naïve stem cells; partial reprogramming","","https://creativecommons.org/licenses/by/4.0/","en","Review"
"Review","Saitou M","Mammalian germ cell development: From mechanism to in vitro reconstitution","Stem Cell Reports","Stem cell reports","2021","16","4","669-680","Imai_Ozaki-lab/Review_iPSC_differentiation","Elsevier BV","2021-04-13","2025-05-01","2213-6711","","http://dx.doi.org/10.1016/j.stemcr.2021.01.008;https://linkinghub.elsevier.com/retrieve/pii/S2213671121000382;https://pubmed.ncbi.nlm.nih.gov/33577794/;https://www.ncbi.nlm.nih.gov/pubmed/33577794;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8072030","10.1016/j.stemcr.2021.01.008","33577794","PMC8072030","The germ cell lineage gives rise to totipotency and perpetuates and diversifies genetic as well as epigenetic information. Specifically, germ cells undergo epigenetic reprogramming/programming, replicate genetic information with high fidelity, and create genetic diversity through meiotic recombination. Driven by advances in our understanding of the mechanisms underlying germ cell development and stem cell/reproductive technologies, research over the past 2 decades has culminated in the in vitro reconstitution of mammalian germ cell development: mouse pluripotent stem cells (PSCs) can now be induced into primordial germ cell-like cells (PGCLCs) and then differentiated into fully functional oocytes and spermatogonia, and human PSCs can be induced into PGCLCs and into early oocytes and prospermatogonia with epigenetic reprogramming. Here, I provide my perspective on the key investigations that have led to the in vitro reconstitution of mammalian germ cell development, which will be instrumental in exploring salient themes in germ cell biology and, with further refinements/extensions, in developing innovative medical applications.","embryonic stem cells; epigenetic reprogramming; germ cells; human; induced pluripotent stem cells; mouse; primordial germ cell-like cells; specification","","http://creativecommons.org/licenses/by-nc-nd/4.0/","en","Review"
"Review","Wang L,Ye Z,Jang YY","Convergence of human pluripotent stem cell, organoid, and genome editing technologies","Exp. Biol. Med. (Maywood)","Experimental biology and medicine (Maywood, N.J.)","2021","246","7","861-875","Imai_Ozaki-lab/Review_iPSC_differentiation","SAGE Publications","2021-04","2025-05-01","1535-3699","1535-3702","http://dx.doi.org/10.1177/1535370220985808;https://www.ebm-journal.org/journals/experimental-biology-and-medicine/articles/10.1177/1535370220985808;https://pubmed.ncbi.nlm.nih.gov/33467883/;https://www.ncbi.nlm.nih.gov/pubmed/33467883;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8719032","10.1177/1535370220985808","33467883","PMC8719032","The last decade has seen many exciting technological breakthroughs that greatly expanded the toolboxes for biological and biomedical research, yet few have had more impact than induced pluripotent stem cells and modern-day genome editing. These technologies are providing unprecedented opportunities to improve physiological relevance of experimental models, further our understanding of developmental processes, and develop novel therapies. One of the research areas that benefit greatly from these technological advances is the three-dimensional human organoid culture systems that resemble human tissues morphologically and physiologically. Here we summarize the development of human pluripotent stem cells and their differentiation through organoid formation. We further discuss how genetic modifications, genome editing in particular, were applied to answer basic biological and biomedical questions using organoid cultures of both somatic and pluripotent stem cell origins. Finally, we discuss the potential challenges of applying human pluripotent stem cell and organoid technologies for safety and efficiency evaluation of emerging genome editing tools.","CRISPR; Pluripotent stem cells; disease models; genome editing; organoid","","","en","Review"
